profile_id,university_id,applied,applied_date,admitted,admitted_date,rejected,rejected_date,created_at,updated_at,term,year
1,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
2,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2020
3,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
4,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2020
5,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
6,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2020
7,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
8,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2020
9,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
10,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2020
11,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
12,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2020
13,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
14,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
15,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
16,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
17,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
18,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
19,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
20,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
21,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
22,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
23,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
24,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
25,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
26,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
27,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
28,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
29,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
30,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
31,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
32,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
33,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
34,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
35,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
36,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
37,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
38,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
39,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
40,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
41,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
42,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
43,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
44,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
45,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
46,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
47,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
48,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
49,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
50,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
51,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
52,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
53,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
54,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
55,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
56,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
57,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
58,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
59,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
60,61,t,00:00.0,,,,,12:43.0,12:43.0,Spring,2019
61,61,t,00:00.0,,,,,12:43.0,12:43.0,Fall,2019
